epoch,lr-AdamW,step,train/allen_mouse_25um/loss,train/loss
,0.001,0,,
,0.001,49,,
0,,49,23401.361328125,23401.361328125
,0.001,99,,
0,,99,16321.654296875,16321.654296875
,0.001,149,,
0,,149,21534.5625,21534.5625
,0.001,199,,
0,,199,13786.599609375,13786.599609375
,0.001,249,,
0,,249,14096.3359375,14096.3359375
,0.001,299,,
0,,299,10028.064453125,10028.064453125
,0.001,349,,
0,,349,11308.6083984375,11308.6083984375
,0.001,399,,
0,,399,7121.142578125,7121.142578125
,0.001,449,,
0,,449,10776.70703125,10776.70703125
